date,tslaclose,tslavolume
2012-05-15,29.43,1585700.0
2012-05-16,29.18,1257100.0
2012-05-17,28.57,1149000.0
2012-05-18,27.56,1616500.0
2012-05-21,28.77,1475200.0
2012-05-22,30.79,2366200.0
2012-05-23,31.02,1220400.0
2012-05-24,30.32,1075600.0
2012-05-25,29.81,757000.0
2012-05-29,31.69,1650000.0
2012-05-30,30.41,1307200.0
2012-05-31,29.5,1118700.0
2012-06-01,28.15,885800.0
2012-06-04,27.88,1030900.0
2012-06-05,27.91,630900.0
2012-06-06,29.22,909900.0
2012-06-07,28.93,492100.0
2012-06-08,30.08,881100.0
2012-06-11,29.12,636000.0
2012-06-12,29.66,569000.0
2012-06-13,29.77,844100.0
2012-06-14,29.39,872200.0
2012-06-15,29.91,646800.0
2012-06-18,31.84,1256800.0
2012-06-19,32.09,911100.0
2012-06-20,33.78,3422400.0
2012-06-21,32.19,1891900.0
2012-06-22,33.785,3046600.0
2012-06-25,33.11,1498500.0
2012-06-26,31.61,2613900.0
2012-06-27,31.96,1047200.0
2012-06-28,31.41,914100.0
2012-06-29,31.29,1125800.0
2012-07-02,30.4,1315600.0
2012-07-03,30.66,947000.0
2012-07-05,31.23,1253800.0
2012-07-06,30.99,784500.0
2012-07-09,31.49,910500.0
2012-07-10,31.27,758400.0
2012-07-11,31.51,638600.0
2012-07-12,32.7,1125700.0
2012-07-13,34.25,1304800.0
2012-07-16,35.96,1744000.0
2012-07-17,33.35,2569300.0
2012-07-18,32.15,2881900.0
2012-07-19,32.27,1435900.0
2012-07-20,31.79,1568500.0
2012-07-23,30.66,1386800.0
2012-07-24,29.84,1500300.0
2012-07-25,28.95,2842200.0
2012-07-26,28.13,2262300.0
2012-07-27,29.51,1673000.0
2012-07-30,27.35,2065200.0
2012-07-31,27.42,1575100.0
2012-08-01,26.25,1592300.0
2012-08-02,26.1,1305100.0
2012-08-03,27.27,1209500.0
2012-08-06,28.27,1528200.0
2012-08-07,30.25,2387200.0
2012-08-08,29.09,1308900.0
2012-08-09,29.41,672600.0
2012-08-10,29.94,707400.0
2012-08-13,31.17,870100.0
2012-08-14,29.42,793400.0
2012-08-15,29.4,525400.0
2012-08-16,30.3,669000.0
2012-08-17,30.01,508200.0
2012-08-20,29.51,1179100.0
2012-08-21,29.11,761600.0
2012-08-22,29.95,775500.0
2012-08-23,30.73,1471000.0
2012-08-24,29.5,1429400.0
2012-08-27,28.32,1350400.0
2012-08-28,28.69,1402700.0
2012-08-29,28.41,838900.0
2012-08-30,28.41,656400.0
2012-08-31,28.52,539800.0
2012-09-04,28.14,752500.0
2012-09-05,27.94,639300.0
2012-09-06,28.55,841700.0
2012-09-07,29.35,953200.0
2012-09-10,27.37,1483300.0
2012-09-11,27.8,1014900.0
2012-09-12,28.28,1145200.0
2012-09-13,29.48,1484700.0
2012-09-14,30.39,1536600.0
2012-09-17,32.54,3212800.0
2012-09-18,31.34,1788500.0
2012-09-19,31.05,1048500.0
2012-09-20,30.9,912400.0
2012-09-21,30.02,1870000.0
2012-09-24,30.66,1301900.0
2012-09-25,27.66,5680400.0
2012-09-26,27.54,1527200.0
2012-09-27,28.49,1758600.0
2012-09-28,29.28,4343400.0
2012-10-01,29.16,884400.0
2012-10-02,29.8,729000.0
2012-10-03,29.3,1052800.0
2012-10-04,29.4,1541300.0
2012-10-05,28.89,938600.0
2012-10-08,29.25,889700.0
2012-10-09,28.37,1193000.0
2012-10-10,28.4,503600.0
2012-10-11,28.32,450600.0
2012-10-12,27.64,987600.0
2012-10-15,27.33,1468700.0
2012-10-16,28.06,479300.0
2012-10-17,28.8191,668000.0
2012-10-18,28.04,741000.0
2012-10-19,27.74,1027400.0
2012-10-22,27.85,470200.0
2012-10-23,28.39,749000.0
2012-10-24,27.42,1016400.0
2012-10-25,27.52,577700.0
2012-10-26,27.38,477400.0
2012-10-31,28.1314,775200.0
2012-11-01,29.2454,1024100.0
2012-11-02,28.9182,1030300.0
2012-11-05,31.5,2048900.0
2012-11-06,31.15,2324000.0
2012-11-07,31.54,1714500.0
2012-11-08,31.31,1274000.0
2012-11-09,30.32,863000.0
2012-11-12,31.07,555900.0
2012-11-13,31.6143,998300.0
2012-11-14,31.38,871300.0
2012-11-15,30.82,984000.0
2012-11-16,31.8399,908700.0
2012-11-19,32.92,1392400.0
2012-11-20,33.0,922500.0
2012-11-21,32.47,963200.0
2012-11-23,32.13,430300.0
2012-11-26,32.27,495800.0
2012-11-27,32.15,910800.0
2012-11-28,33.23,1525200.0
2012-11-29,33.69,1103400.0
2012-11-30,33.82,1420300.0
2012-12-03,34.62,2085700.0
2012-12-04,33.9,1263300.0
2012-12-05,33.71,661500.0
2012-12-06,33.9,660400.0
2012-12-07,34.17,664400.0
2012-12-10,34.57,929800.0
2012-12-11,35.28,1572600.0
2012-12-12,35.26,2063800.0
2012-12-13,33.61,2151300.0
2012-12-14,33.81,1023000.0
2012-12-17,34.4,824900.0
2012-12-18,34.59,1553900.0
2012-12-19,34.61,1298800.0
2012-12-20,34.43,921200.0
2012-12-21,34.0,1492400.0
2012-12-24,34.28,375800.0
2012-12-26,33.59,601400.0
2012-12-27,33.69,561100.0
2012-12-28,33.22,414100.0
2012-12-31,33.87,594900.0
2013-01-02,35.36,1194800.0
2013-01-03,34.77,742000.0
2013-01-04,34.4,674000.0
2013-01-07,34.34,442000.0
2013-01-08,33.68,1284000.0
2013-01-09,33.64,698000.0
2013-01-10,33.53,922500.0
2013-01-11,32.91,1563200.0
2013-01-14,33.26,925100.0
2013-01-15,33.9,1624200.0
2013-01-16,34.1,1378200.0
2013-01-17,34.38,1436700.0
2013-01-18,34.52,3555100.0
2013-01-22,35.19,1920200.0
2013-01-23,36.0,1564300.0
2013-01-24,36.99,1970400.0
2013-01-25,36.98,1287800.0
2013-01-28,38.03,1986000.0
2013-01-29,37.95,1426600.0
2013-01-30,37.52,968100.0
2013-01-31,37.51,901400.0
2013-02-01,38.3,1100600.0
2013-02-04,37.74,1128000.0
2013-02-05,38.13,1310200.0
2013-02-06,39.17,1893200.0
2013-02-07,39.48,1196600.0
2013-02-08,39.24,1139800.0
2013-02-11,38.42,3266300.0
2013-02-12,37.89,2261300.0
2013-02-13,38.45,966800.0
2013-02-14,38.3,990700.0
2013-02-15,37.04,2017600.0
2013-02-19,39.28,2701400.0
2013-02-20,38.54,3122000.0
2013-02-21,35.16,9037800.0
2013-02-22,36.11,2547300.0
2013-02-25,34.38,2889400.0
2013-02-26,34.43,2762900.0
2013-02-27,35.1,1959200.0
2013-02-28,34.83,1964900.0
2013-03-01,34.65,1546600.0
2013-03-04,35.58,1757700.0
2013-03-05,36.65,2087000.0
2013-03-06,37.69,1150000.0
2013-03-07,38.23,1158300.0
2013-03-08,38.47,912100.0
2013-03-11,39.1,1579500.0
2013-03-12,39.12,1275100.0
2013-03-13,38.98,822000.0
2013-03-14,36.85,2021000.0
2013-03-15,35.29,3279600.0
2013-03-18,35.15,1316100.0
2013-03-19,35.08,1098500.0
2013-03-20,35.95,1423000.0
2013-03-21,36.01,1146300.0
2013-03-22,36.62,440200.0
2013-03-25,37.53,2378800.0
2013-03-26,37.86,1808200.0
2013-03-27,38.16,1296300.0
2013-03-28,37.89,1158700.0
2013-04-01,43.93,14098500.0
2013-04-02,44.34,6652400.0
2013-04-03,41.1,5643600.0
2013-04-04,42.01,2264800.0
2013-04-05,41.37,1552400.0
2013-04-08,41.83,1679000.0
2013-04-09,40.5,1696100.0
2013-04-10,41.86,2121100.0
2013-04-11,43.59,3447400.0
2013-04-12,43.75,3149400.0
2013-04-15,43.3,1681400.0
2013-04-16,45.59,3180400.0
2013-04-17,45.45,2118500.0
2013-04-18,46.97,3367900.0
2013-04-19,47.83,3011700.0
2013-04-22,50.19,3939400.0
2013-04-23,51.01,3733800.0
2013-04-24,50.43,2630000.0
2013-04-25,52.0,2795900.0
2013-04-26,51.2,3622100.0
2013-04-29,54.94,3639700.0
2013-04-30,53.99,5522600.0
2013-05-01,53.28,2742800.0
2013-05-02,54.11,3050400.0
2013-05-03,54.55,3378700.0
2013-05-06,59.5,4366700.0
2013-05-07,55.51,9991000.0
2013-05-08,55.7865,6769900.0
2013-05-09,69.4,28605000.0
2013-05-10,76.764,25082600.0
2013-05-13,87.8,22416900.0
2013-05-14,83.24,37163900.0
2013-05-15,84.842,16878700.0
2013-05-16,92.248,21614000.0
2013-05-17,91.5,19002200.0
2013-05-20,89.94,8348400.0
2013-05-21,87.59,8998200.0
2013-05-22,87.24,8568000.0
2013-05-23,92.73,12022200.0
2013-05-24,97.08,16124200.0
2013-05-28,110.334,19691900.0
2013-05-29,104.629,25099500.0
2013-05-30,104.95,16133700.0
2013-05-31,97.76,15172000.0
2013-06-03,92.59,19139600.0
2013-06-04,94.84,8856100.0
2013-06-05,95.37,12224800.0
2013-06-06,97.35,9510900.0
2013-06-07,102.04,10711600.0
2013-06-10,100.05,9228600.0
2013-06-11,94.47,7394000.0
2013-06-12,97.73,9192700.0
2013-06-13,98.18,5961600.0
2013-06-14,100.3,6564700.0
2013-06-17,102.2,7066200.0
2013-06-18,103.39,8795300.0
2013-06-19,104.68,8578900.0
2013-06-20,100.65,10106500.0
2013-06-21,99.55,11718600.0
2013-06-24,101.49,7119800.0
2013-06-25,102.4,5848700.0
2013-06-26,105.72,6602600.0
2013-06-27,109.25,8744900.0
2013-06-28,107.36,5748600.0
2013-07-01,117.179,10903600.0
2013-07-02,117.82,12064100.0
2013-07-03,115.24,4806700.0
2013-07-05,120.09,6818700.0
2013-07-08,121.61,7814200.0
2013-07-09,123.45,8603300.0
2013-07-10,122.27,5600100.0
2013-07-11,125.61,7483600.0
2013-07-12,129.9,11344000.0
2013-07-15,127.26,9922400.0
2013-07-16,109.05,32371900.0
2013-07-17,120.25,26029000.0
2013-07-18,119.03,11398100.0
2013-07-19,119.68,5890300.0
2013-07-22,122.43,9797800.0
2013-07-23,122.74,7736400.0
2013-07-24,121.7,6869000.0
2013-07-25,124.07,5284300.0
2013-07-26,129.39,9633100.0
2013-07-29,134.62,9678900.0
2013-07-30,131.74,13127000.0
2013-07-31,134.28,6351700.0
2013-08-01,135.55,5323600.0
2013-08-02,138.0,6269900.0
2013-08-05,144.68,10200700.0
2013-08-06,142.15,9254500.0
2013-08-07,134.23,18212200.0
2013-08-08,153.48,27246800.0
2013-08-09,153.0,8927700.0
2013-08-12,147.38,14912200.0
2013-08-13,145.43,8748900.0
2013-08-14,139.36,11693800.0
2013-08-15,139.67,10179200.0
2013-08-16,142.0,7108100.0
2013-08-19,144.9,8037700.0
2013-08-20,149.58,6418200.0
2013-08-21,147.86,6266300.0
2013-08-22,157.1,10592400.0
2013-08-23,161.839,12931900.0
2013-08-26,164.22,24171100.0
2013-08-27,167.01,17566900.0
2013-08-28,166.45,14740100.0
2013-08-29,166.06,9436000.0
2013-08-30,169.0,11028400.0
2013-09-03,168.94,12061100.0
2013-09-04,170.622,11475700.0
2013-09-05,169.93,6685300.0
2013-09-06,166.97,8619700.0
2013-09-09,160.7,14344500.0
2013-09-10,166.37,8967800.0
2013-09-11,163.52,5832500.0
2013-09-12,164.93,6160000.0
2013-09-13,165.54,5401200.0
2013-09-16,166.58,7574900.0
2013-09-17,166.23,5496900.0
2013-09-18,166.218,5439700.0
2013-09-19,177.92,15594600.0
2013-09-20,183.39,13401700.0
2013-09-23,181.11,8173400.0
2013-09-24,182.33,6273400.0
2013-09-25,185.238,8252700.0
2013-09-26,188.64,6614400.0
2013-09-27,190.9,5916400.0
2013-09-30,193.37,8924700.0
2013-10-01,193.0,7755900.0
2013-10-02,180.95,20775400.0
2013-10-03,173.31,23816500.0
2013-10-04,180.98,14414000.0
2013-10-07,183.07,11485600.0
2013-10-08,174.73,13757200.0
2013-10-09,168.78,15316500.0
2013-10-10,172.93,8883900.0
2013-10-11,178.7,8311100.0
2013-10-14,179.72,7769600.0
2013-10-15,183.94,10978500.0
2013-10-16,183.56,8205400.0
2013-10-17,182.802,6705000.0
2013-10-18,183.4,5930800.0
2013-10-21,172.6,11532100.0
2013-10-22,171.54,11386700.0
2013-10-23,164.5,13320400.0
2013-10-24,173.15,10825700.0
2013-10-25,169.66,7595500.0
