date,googlclose,googlvolume
2007-05-08,234.1277,5804300.0
2007-05-09,235.3515,7772000.0
2007-05-10,231.4495,7365200.0
2007-05-11,234.0926,5882300.0
2007-05-14,231.6049,7737600.0
2007-05-15,229.7091,8229700.0
2007-05-16,237.0367,13095200.0
2007-05-17,236.2092,9311800.0
2007-05-18,235.8882,7384400.0
2007-05-21,236.0286,12306200.0
2007-05-22,238.6667,7670300.0
2007-05-23,237.7188,10110200.0
2007-05-24,237.8994,8338800.0
2007-05-25,242.5086,10686300.0
2007-05-29,244.3092,10425500.0
2007-05-30,250.0719,14477100.0
2007-05-31,249.7254,17830700.0
2007-06-01,250.9732,9588400.0
2007-06-04,254.3201,14187700.0
2007-06-05,260.2233,20873300.0
2007-06-06,259.9274,15757600.0
2007-06-07,258.3274,21239700.0
2007-06-08,258.5431,12703600.0
2007-06-11,256.4617,9286100.0
2007-06-12,253.1665,12826100.0
2007-06-13,253.4022,14053900.0
2007-06-14,252.1985,9233100.0
2007-06-15,253.7282,12335800.0
2007-06-18,258.3976,9662100.0
2007-06-19,257.9513,8701800.0
2007-06-20,255.7746,8667700.0
2007-06-21,257.851,8810500.0
2007-06-22,263.3028,14392900.0
2007-06-25,264.5266,15834100.0
2007-06-26,265.951,11367600.0
2007-06-27,263.9598,12233900.0
2007-06-28,263.3178,8328400.0
2007-06-29,262.1593,7753400.0
2007-07-02,266.0112,6968200.0
2007-07-03,267.9973,3739800.0
2007-07-05,271.6536,9875900.0
2007-07-06,270.5351,5488500.0
2007-07-09,272.12,7452100.0
2007-07-10,272.5112,7704200.0
2007-07-11,273.078,6611900.0
2007-07-12,273.5093,6876300.0
2007-07-13,276.9349,10463700.0
2007-07-16,277.3512,13185800.0
2007-07-17,278.3593,8648500.0
2007-07-18,275.6008,12147800.0
2007-07-19,275.1443,22232100.0
2007-07-20,260.8653,35509000.0
2007-07-23,257.0485,12700600.0
2007-07-24,257.7958,11133000.0
2007-07-25,255.6692,11078900.0
2007-07-26,254.7865,13753000.0
2007-07-27,256.7375,11007100.0
2007-07-30,258.8541,7918600.0
2007-07-31,255.7896,8532400.0
2007-08-01,257.2641,8847500.0
2007-08-02,256.2962,6303400.0
2007-08-03,252.2788,6346000.0
2007-08-06,255.7896,7295600.0
2007-08-07,258.8089,8520000.0
2007-08-08,263.704,8129400.0
2007-08-09,258.1619,9683300.0
2007-08-10,258.6735,11738600.0
2007-08-13,258.5481,6352200.0
2007-08-14,255.0874,7260100.0
2007-08-15,249.5453,10808100.0
2007-08-16,246.521,17273900.0
2007-08-17,250.7942,10947800.0
2007-08-20,249.7309,5389200.0
2007-08-21,254.0893,7213900.0
2007-08-22,257.1689,6498800.0
2007-08-23,256.888,6147200.0
2007-08-24,258.2973,4940400.0
2007-08-27,257.4246,4645500.0
2007-08-28,253.984,6541200.0
2007-08-29,257.2341,5093500.0
